Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.181 0.000606862 0.0879526 3.23e-07 0.857767 0.0370994 1.45e-07 1.3e-07 0.000697854
0.182 0.000606862 0.0879526 2.78e-07 0.860521 0.0395686 1.28e-07 1.23e-07 0.000695543
0.183 0.000606862 0.0879526 3.48e-07 0.860111 0.0395301 1.35e-07 1.33e-07 0.000696693
0.184 0.000606862 0.0879526 2.57e-07 0.861666 0.0394789 1.42e-07 1.24e-07 0.00069728
0.185 0.000606862 0.0879526 3.77e-07 0.86293 0.0373284 1.42e-07 1.36e-07 0.000705175
0.186 0.000606862 0.0879526 2.56e-07 0.861966 0.0372537 1.31e-07 1.27e-07 0.000697294
0.187 0.000606862 0.0879526 3.2e-07 0.866746 0.0374263 1.37e-07 1.44e-07 0.000695413
0.188 0.000606862 0.0879526 3e-07 0.871528 0.0377049 1.39e-07 1.28e-07 0.000697178
0.189 0.000606862 0.0879526 3.08e-07 0.874217 0.0402085 1.36e-07 1.29e-07 0.000761701
0.19 0.000606862 0.0879526 3.01e-07 0.876517 0.0376615 1.3e-07 1.48e-07 0.000694311
0.191 0.000606862 0.0879526 3e-07 0.877425 0.0399791 1.38e-07 1.23e-07 0.000694849
0.192 0.000606862 0.0879526 3.49e-07 0.878672 0.0423829 1.36e-07 1.27e-07 0.000695484
0.193 0.000606862 0.0879526 2.6e-07 0.880021 0.0424908 1.45e-07 1.27e-07 0.000697645
0.194 0.000606862 0.0879526 3.35e-07 0.882179 0.0402346 1.39e-07 1.3e-07 0.000701736
0.195 0.000606862 0.0879526 4.01e-07 0.883468 0.0378559 1.38e-07 1.27e-07 0.000695002
0.196 0.000606862 0.0879526 3.14e-07 0.884642 0.0379494 1.29e-07 1.3e-07 0.000693519
0.197 0.000606862 0.0879526 3.89e-07 0.891364 0.0381944 1.58e-07 1.27e-07 0.000695043
0.198 0.000606862 0.0879526 3.08e-07 0.892394 0.0382825 1.27e-07 1.37e-07 0.000727634
0.199 0.000606862 0.0879526 3.64e-07 0.93522 0.039539 1.58e-07 1.28e-07 0.00069969
0.2 0.000606862 0.0879526 3.25e-07 0.914064 0.0391119 1.29e-07 1.29e-07 0.000694521
0.201 0.000606862 0.0879526 2.71e-07 0.91361 0.0394622 1.38e-07 1.28e-07 0.000699388
0.202 0.000606862 0.0879526 3.54e-07 0.909439 0.0433389 1.35e-07 1.37e-07 0.000695235
