Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.192 0.00214238 0.0740391 2.47e-07 0.65828 0.0280886 1.33e-07 1.23e-07 0.000581294
0.193 0.00214238 0.0740391 3.17e-07 0.659043 0.0281894 1.29e-07 1.25e-07 0.000607902
0.194 0.00214238 0.0740391 3.36e-07 0.658912 0.028374 1.36e-07 1.21e-07 0.000568835
0.195 0.00214238 0.0740391 2.82e-07 0.660237 0.028009 1.38e-07 1.41e-07 0.000670588
0.196 0.00214238 0.0740391 3.64e-07 0.661869 0.0283287 1.3e-07 1.3e-07 0.000567892
0.197 0.00214238 0.0740391 4.79e-07 0.664294 0.0287387 1.37e-07 1.27e-07 0.000612461
0.198 0.00214238 0.0740391 3.88e-07 0.66393 0.0527855 1.83e-07 1.35e-07 0.000567101
0.199 0.00214238 0.0740391 2.86e-07 0.681294 0.0313549 1.38e-07 1.38e-07 0.000579921
0.2 0.00214238 0.0740391 3.74e-07 0.673368 0.0350746 1.36e-07 1.28e-07 0.000566822
0.201 0.00214238 0.0740391 3.65e-07 0.673956 0.0373828 1.47e-07 1.45e-07 0.000582702
0.202 0.00214238 0.0740391 3.11e-07 0.674842 0.0309089 1.9e-07 1.35e-07 0.00056851
0.203 0.00214238 0.0740391 2.99e-07 0.679165 0.0360875 1.3e-07 1.29e-07 0.000586805
0.204 0.00214238 0.0740391 5.86e-07 0.685802 0.0358668 1.34e-07 1.92e-07 0.000582987
0.205 0.00214238 0.0740391 3.37e-07 0.688042 0.0353976 1.57e-07 1.48e-07 0.000569917
0.206 0.00214238 0.0740391 3.5e-07 0.696138 0.0362044 1.3e-07 1.34e-07 0.000583921
0.207 0.00214238 0.0740391 2.97e-07 0.701699 0.0410574 1.18e-07 1.28e-07 0.000571021
0.208 0.00214238 0.0740391 4.16e-07 0.70252 0.0302281 1.36e-07 1.28e-07 0.000570185
0.209 0.00214238 0.0740391 2.98e-07 0.706557 0.0296034 1.41e-07 1.28e-07 0.000567611
0.21 0.00214238 0.0740391 4.19e-07 0.742661 0.0316829 1.36e-07 1.38e-07 0.000581498
0.211 0.00214238 0.0740391 3.29e-07 0.717089 0.0303886 1.31e-07 1.3e-07 0.000581023
0.212 0.00214238 0.0740391 3.66e-07 0.725058 0.0305703 1.31e-07 1.31e-07 0.000581507
0.213 0.00214238 0.0740391 4.37e-07 0.725688 0.0306408 1.47e-07 1.51e-07 0.000579843
0.214 0.00214238 0.0740391 3.58e-07 0.725599 0.0309704 1.31e-07 1.28e-07 0.00058139
0.215 0.00214238 0.0740391 3.32e-07 0.722727 0.0306451 1.5e-07 1.27e-07 0.000583152
0.216 0.00214238 0.0740391 3.34e-07 0.737652 0.0308338 1.29e-07 1.28e-07 0.000581875
0.217 0.00214238 0.0740391 3.19e-07 0.733435 0.0307392 1.27e-07 1.44e-07 0.000580932
0.218 0.00214238 0.0740391 4.76e-07 0.728515 0.0312249 1.57e-07 1.33e-07 0.000579741
0.219 0.00214238 0.0740391 2.7e-07 0.730389 0.0307069 1.27e-07 1.33e-07 0.000580524
0.22 0.00214238 0.0740391 3.48e-07 0.733159 0.0308266 1.3e-07 1.26e-07 0.000582455
0.221 0.00214238 0.0740391 3.92e-07 0.732012 0.0306228 1.23e-07 1.71e-07 0.000569068
0.222 0.00214238 0.0740391 2.69e-07 0.734792 0.0312365 1.25e-07 1.29e-07 0.0005698
0.223 0.00214238 0.0740391 2.57e-07 0.736981 0.0306645 1.41e-07 1.82e-07 0.000570394
0.224 0.00214238 0.0740391 3.7e-07 0.738447 0.0327915 1.25e-07 1.34e-07 0.000567642
0.225 0.00214238 0.0740391 2.83e-07 0.743541 0.0333409 1.25e-07 1.29e-07 0.000566817
0.226 0.00214238 0.0740391 2.7e-07 0.745254 0.0356665 2.02e-07 1.47e-07 0.000579589
0.227 0.00214238 0.0740391 2.84e-07 0.744664 0.0310217 1.77e-07 1.34e-07 0.00057999
0.228 0.00214238 0.0740391 3.55e-07 0.742522 0.0331679 1.2e-07 1.24e-07 0.000569969
0.229 0.00214238 0.0740391 3.14e-07 0.748046 0.0334684 1.45e-07 1.32e-07 0.00057992
0.23 0.00214238 0.0740391 3.18e-07 0.751954 0.0334454 1.21e-07 1.51e-07 0.000578881
0.231 0.00214238 0.0740391 3.49e-07 0.748802 0.0358497 1.22e-07 1.44e-07 0.000580381
0.232 0.00214238 0.0740391 3.6e-07 0.750843 0.035281 1.31e-07 1.29e-07 0.000610702
0.233 0.00214238 0.0740391 2.58e-07 0.754409 0.0313243 1.2e-07 1.27e-07 0.000578564
0.234 0.00214238 0.0740391 3.03e-07 0.75966 0.0360032 1.27e-07 1.31e-07 0.000579479
0.235 0.00214238 0.0740391 2.59e-07 0.759825 0.0368935 1.29e-07 1.31e-07 0.000580813
0.236 0.00214238 0.0740391 4.03e-07 0.765237 0.036356 1.81e-07 1.35e-07 0.000578189
0.237 0.00214238 0.0740391 5.51e-07 0.768561 0.0364278 1.28e-07 1.32e-07 0.000579292
0.238 0.00214238 0.0740391 5.02e-07 0.768945 0.0365299 1.47e-07 1.89e-07 0.000578207
0.239 0.00214238 0.0740391 3.61e-07 0.771797 0.0366334 1.34e-07 1.3e-07 0.000578087
0.24 0.00214238 0.0740391 3.42e-07 0.771611 0.0386617 1.32e-07 1.25e-07 0.000578243
0.241 0.00214238 0.0740391 3.05e-07 0.80573 0.0387086 1.32e-07 1.42e-07 0.000577522
0.242 0.00214238 0.0740391 3.68e-07 0.798685 0.040787 1.34e-07 1.31e-07 0.000578689
0.243 0.00214238 0.0740391 3.48e-07 0.779535 0.0411043 1.26e-07 1.25e-07 0.000576052
0.244 0.00214238 0.0740391 3.36e-07 0.781595 0.0322204 1.29e-07 1.2e-07 0.00056152
0.245 0.00214238 0.0740391 3.19e-07 0.783255 0.0357513 1.32e-07 1.24e-07 0.000564409
0.246 0.00214238 0.0740391 4.34e-07 0.782146 0.0366609 1.9e-07 1.25e-07 0.000562263
0.247 0.00214238 0.0740391 2.78e-07 0.791365 0.0366686 1.43e-07 1.28e-07 0.000561637
0.248 0.00214238 0.0740391 3.32e-07 0.793792 0.0371225 1.3e-07 1.23e-07 0.000564148
0.249 0.00214238 0.0740391 3.28e-07 0.796024 0.0373205 1.36e-07 1.27e-07 0.000576052
0.25 0.00214238 0.0740391 3.54e-07 0.79549 0.0402923 1.32e-07 1.85e-07 0.000578498
0.251 0.00214238 0.0740391 3.15e-07 0.793076 0.0394049 1.45e-07 1.37e-07 0.000575692
0.252 0.00214238 0.0740391 2.75e-07 0.799043 0.044098 1.31e-07 1.49e-07 0.000579389
0.253 0.00214238 0.0740391 3.75e-07 0.810464 0.0334463 1.31e-07 1.31e-07 0.00057304
0.254 0.00214238 0.0740391 2.61e-07 0.80842 0.0336642 1.38e-07 1.43e-07 0.000561163
0.255 0.00214238 0.0740391 3.66e-07 0.813105 0.0335357 1.31e-07 1.37e-07 0.0005742
0.256 0.00214238 0.0740391 2.93e-07 0.812285 0.0348531 1.35e-07 1.38e-07 0.000565427
0.257 0.00214238 0.0740391 4.39e-07 0.819422 0.0338978 1.34e-07 1.29e-07 0.0005898
0.258 0.00214238 0.0740391 4.32e-07 0.820052 0.033985 1.38e-07 1.27e-07 0.000561692
0.259 0.00214238 0.0740391 3.24e-07 0.830449 0.0364565 1.31e-07 1.28e-07 0.000560242
0.26 0.00214238 0.0740391 2.84e-07 0.82851 0.0362399 1.38e-07 1.35e-07 0.000561966
0.261 0.00214238 0.0740391 6.13e-07 0.830152 0.0363511 1.38e-07 1.47e-07 0.000665969
0.262 0.00214238 0.0740391 3.03e-07 0.832635 0.0426245 1.4e-07 1.39e-07 0.000577733
0.263 0.00214238 0.0740391 3.59e-07 0.832933 0.0426876 1.49e-07 1.28e-07 0.000577138
0.264 0.00214238 0.0740391 3.28e-07 0.835651 0.046805 1.44e-07 1.57e-07 0.000561511
0.265 0.00214238 0.0740391 2.72e-07 0.835513 0.0491288 1.31e-07 1.29e-07 0.000562712
0.266 0.00214238 0.0740391 3.47e-07 0.837872 0.0492739 1.33e-07 1.39e-07 0.000574994
0.267 0.00214238 0.0740391 3.55e-07 0.84317 0.0537705 1.48e-07 1.29e-07 0.000575692
0.268 0.00214238 0.0740391 3.15e-07 0.84108 0.0602992 1.4e-07 1.32e-07 0.000573048
0.269 0.00214238 0.0740391 4.13e-07 0.843002 0.0645963 1.4e-07 1.86e-07 0.000574315
0.27 0.00214238 0.0740391 3.98e-07 0.848983 0.0348736 1.3e-07 1.29e-07 0.000570624
0.271 0.00214238 0.0740391 3.31e-07 0.84546 0.0345697 1.4e-07 1.3e-07 0.000572451
0.272 0.00214238 0.0740391 3.13e-07 0.869791 0.0346876 1.93e-07 1.34e-07 0.000571826
0.273 0.00214238 0.0740391 3.8e-07 0.855843 0.0345205 1.29e-07 1.32e-07 0.000558857
0.274 0.00214238 0.0740391 3.08e-07 0.859087 0.034856 1.86e-07 1.42e-07 0.000559996
0.275 0.00214238 0.0740391 3.55e-07 0.861513 0.0353158 1.38e-07 1.27e-07 0.000558913
0.276 0.00214238 0.0740391 2.77e-07 0.865246 0.0404583 1.39e-07 1.36e-07 0.000572977
0.277 0.00214238 0.0740391 3.88e-07 0.867237 0.0399259 1.38e-07 1.3e-07 0.000570806
0.278 0.00214238 0.0740391 2.75e-07 0.866763 0.0351699 1.28e-07 1.3e-07 0.00055848
0.279 0.00214238 0.0740391 3.02e-07 0.869434 0.0358422 1.76e-07 1.37e-07 0.000572847
0.28 0.00214238 0.0740391 3.8e-07 0.872564 0.0354361 1.28e-07 1.48e-07 0.000558646
0.281 0.00214238 0.0740391 3.54e-07 0.874097 0.0357624 1.36e-07 1.95e-07 0.000570512
0.282 0.00214238 0.0740391 3.25e-07 0.889592 0.0359548 1.34e-07 1.48e-07 0.000571573
0.283 0.00214238 0.0740391 3.87e-07 0.882056 0.0359316 1.33e-07 1.41e-07 0.000572289
0.284 0.00214238 0.0740391 3.1e-07 0.882211 0.0356217 1.86e-07 1.36e-07 0.000703578
0.285 0.00214238 0.0740391 2.8e-07 0.886652 0.0357352 1.41e-07 1.44e-07 0.000557198
0.286 0.00214238 0.0740391 2.74e-07 0.912401 0.0359989 1.33e-07 1.31e-07 0.0005712
