Dc dPTime iforestTime find_markedNodesTime find_potential_dcNN_listTime relativedistanceTime ccidentificationTime_without_k ccidentificationTime clusterassignTime 
0.177 0.000796496 0.0952426 6.24e-07 1.99169 0.0987802 1.38e-07 1.4e-07 0.000977541
0.178 0.000796496 0.0952426 2.33e-07 2.0078 0.0921856 1.36e-07 1.35e-07 0.000986085
0.179 0.000796496 0.0952426 2.83e-07 2.011 0.10287 2.05e-07 1.43e-07 0.000978707
0.18 0.000796496 0.0952426 3.14e-07 2.01857 0.0925856 1.29e-07 1.36e-07 0.000978769
0.181 0.000796496 0.0952426 3.82e-07 2.02926 0.0975111 1.31e-07 1.83e-07 0.000979851
0.182 0.000796496 0.0952426 4.5e-07 2.04597 0.104661 1.39e-07 1.4e-07 0.000978096
0.183 0.000796496 0.0952426 2.69e-07 2.04164 0.0974338 1.95e-07 1.32e-07 0.00102376
0.184 0.000796496 0.0952426 3.42e-07 2.05244 0.0976521 1.36e-07 1.83e-07 0.000985611
0.185 0.000796496 0.0952426 4.44e-07 2.05412 0.101632 1.43e-07 1.28e-07 0.000988031
0.186 0.000796496 0.0952426 3.66e-07 2.07218 0.0877351 1.51e-07 1.3e-07 0.000978472
0.187 0.000796496 0.0952426 3.51e-07 2.07065 0.0914661 1.41e-07 1.29e-07 0.000978234
0.188 0.000796496 0.0952426 2.69e-07 2.08908 0.0923461 1.39e-07 1.91e-07 0.000977848
0.189 0.000796496 0.0952426 2.81e-07 2.09576 0.088729 1.33e-07 1.28e-07 0.000985005
0.19 0.000796496 0.0952426 2.59e-07 2.10889 0.0893576 1.42e-07 1.5e-07 0.000976898
0.191 0.000796496 0.0952426 3.38e-07 2.12078 0.0896561 1.38e-07 1.29e-07 0.000977328
0.192 0.000796496 0.0952426 2.9e-07 2.13671 0.0861899 1.91e-07 1.34e-07 0.000979574
0.193 0.000796496 0.0952426 2.86e-07 2.13802 0.10044 1.41e-07 1.81e-07 0.000978928
0.194 0.000796496 0.0952426 3.48e-07 2.14069 0.0900515 1.3e-07 1.84e-07 0.000984153
0.195 0.000796496 0.0952426 1.484e-06 2.1591 0.0868079 1.32e-07 1.36e-07 0.000980373
0.196 0.000796496 0.0952426 3.05e-07 2.15142 0.0871371 1.39e-07 1.49e-07 0.00098088
0.197 0.000796496 0.0952426 3.4e-07 2.15603 0.0871345 1.37e-07 1.48e-07 0.000978993
0.198 0.000796496 0.0952426 3.12e-07 2.15898 0.0975746 1.33e-07 1.83e-07 0.000978655
0.199 0.000796496 0.0952426 3.23e-07 2.17372 0.112192 1.44e-07 1.33e-07 0.000979057
0.2 0.000796496 0.0952426 3.71e-07 2.17606 0.0983987 1.89e-07 1.31e-07 0.000978667
0.201 0.000796496 0.0952426 3.57e-07 2.17808 0.105645 1.37e-07 1.45e-07 0.000979847
0.202 0.000796496 0.0952426 2.92e-07 2.18395 0.0951459 1.46e-07 1.48e-07 0.000979606
0.203 0.000796496 0.0952426 4.03e-07 2.18714 0.0988415 1.33e-07 1.28e-07 0.000979583
0.204 0.000796496 0.0952426 2.99e-07 2.18918 0.0952405 1.31e-07 1.34e-07 0.000978303
0.205 0.000796496 0.0952426 3.08e-07 2.20378 0.0886895 1.33e-07 1.8e-07 0.000981088
0.206 0.000796496 0.0952426 3.68e-07 2.20731 0.0889975 1.98e-07 1.33e-07 0.000977604
0.207 0.000796496 0.0952426 2.41e-07 2.21216 0.0891022 1.47e-07 1.29e-07 0.000977454
0.208 0.000796496 0.0952426 3.52e-07 2.21977 0.0964308 1.43e-07 1.29e-07 0.000980868
0.209 0.000796496 0.0952426 3.58e-07 2.22009 0.103454 1.29e-07 1.3e-07 0.000982388
0.21 0.000796496 0.0952426 2.42e-07 2.25774 0.0973805 1.84e-07 1.31e-07 0.000984876
0.211 0.000796496 0.0952426 2.62e-07 2.2385 0.0971451 1.42e-07 1.28e-07 0.00098196
0.212 0.000796496 0.0952426 2.88e-07 2.25177 0.0974611 1.31e-07 1.29e-07 0.000981921
0.213 0.000796496 0.0952426 3.32e-07 2.26445 0.0909146 1.41e-07 1.3e-07 0.000982381
0.214 0.000796496 0.0952426 3.34e-07 2.27715 0.0985732 1.33e-07 1.31e-07 0.000987627
0.215 0.000796496 0.0952426 3.86e-07 2.28197 0.0987709 1.32e-07 1.55e-07 0.000981087
0.216 0.000796496 0.0952426 3.01e-07 2.30008 0.09942 1.35e-07 1.28e-07 0.000978529
0.217 0.000796496 0.0952426 3.57e-07 2.30005 0.0960947 1.29e-07 1.88e-07 0.000979393
0.218 0.000796496 0.0952426 1.145e-06 2.31467 0.0962016 1.29e-07 1.35e-07 0.000980026
0.219 0.000796496 0.0952426 2.94e-07 2.31101 0.0928367 1.29e-07 1.35e-07 0.000981998
0.22 0.000796496 0.0952426 2.41e-07 2.32007 0.103824 1.31e-07 1.4e-07 0.000980086
0.221 0.000796496 0.0952426 2.57e-07 2.32592 0.0933715 1.33e-07 1.29e-07 0.000976791
0.222 0.000796496 0.0952426 3.74e-07 2.33536 0.0936273 1.51e-07 1.85e-07 0.000983435
0.223 0.000796496 0.0952426 3.5e-07 2.35111 0.0941013 1.43e-07 1.3e-07 0.000981434
0.224 0.000796496 0.0952426 1.782e-06 2.37798 0.0943551 1.33e-07 1.32e-07 0.000979571
0.225 0.000796496 0.0952426 4.23e-07 2.35948 0.0980707 1.37e-07 1.5e-07 0.000980484
0.226 0.000796496 0.0952426 3.01e-07 2.36189 0.101631 1.33e-07 1.3e-07 0.000978583
0.227 0.000796496 0.0952426 2.96e-07 2.36694 0.0983302 1.56e-07 1.29e-07 0.000976803
0.228 0.000796496 0.0952426 2.81e-07 2.39082 0.0951146 1.45e-07 1.47e-07 0.000975184
0.229 0.000796496 0.0952426 1.531e-06 2.39989 0.0951444 1.3e-07 1.86e-07 0.000978168
0.23 0.000796496 0.0952426 2.54e-07 2.38924 0.0953265 1.85e-07 1.4e-07 0.000974303
0.231 0.000796496 0.0952426 3.59e-07 2.39078 0.0955943 1.36e-07 1.48e-07 0.000991474
